1538571816.359817|0|0
1538571816.359818|0|0
1538571817.18383|482|381
1538571817.250757|436|533
1538571817.310382|39|105
1538571817.378368|481|381
1538571817.442648|39|104
1538571817.511808|286|396
1538571817.578037|482|380
1538571817.645597|37|104
1538571817.712489|442|552
1538571817.777322|482|378
1538571817.844707|286|396
1538571817.909101|286|396
1538571817.977859|481|381
1538571818.045439|481|380
1538571818.109762|287|396
1538571818.177722|286|396
1538571818.240502|287|396
1538571818.309237|286|396
1538571818.376353|286|396
1538571818.440294|287|396
1538571818.506607|482|379
1538571818.571487|286|396
1538571818.641711|286|396
1538571818.709057|286|396
1538571818.771672|287|396
1538571818.840105|287|396
1538571818.903781|287|396
1538571818.972002|286|396
1538571819.040148|286|396
1538571819.103718|481|381
1538571819.171164|287|396
1538571819.237947|287|396
1538571819.304507|286|396
1538571819.373113|481|380
1538571819.436839|481|380
1538571819.502807|286|396
1538571819.567135|286|396
1538571819.634669|287|396
1538571819.702959|286|396
1538571819.767204|286|396
1538571819.836488|287|396
1538571819.900405|481|381
1538571819.966946|287|396
1538571820.032961|287|396
1538571820.09864|286|396
1538571820.166808|286|396
1538571820.230649|287|396
1538571820.297767|286|396
1538571820.361928|286|396
1538571820.430177|287|396
1538571820.499636|287|396
1538571820.56248|286|396
1538571820.631136|287|396
1538571820.695186|287|396
1538571820.762792|286|396
