1538583467.755278|0|0
1538583467.755279|0|0
1538583468.589132|641|467
1538583468.65963|612|504
1538583468.708378|644|459
1538583468.786019|653|447
1538583468.849568|646|379
1538583468.906976|611|492
1538583468.971502|678|464
1538583469.051913|665|453
1538583469.120382|641|452
1538583469.177344|732|416
1538583469.243601|659|431
1538583469.30988|667|453
1538583469.372897|605|509
1538583469.43912|606|511
1538583469.512894|655|471
1538583469.580041|607|492
1538583469.650799|658|441
1538583469.71092|692|426
