1538583268.980648|0|0
1538583268.98065|0|0
1538583270.578987|626|348
1538583270.639075|667|451
1538583270.70786|645|453
1538583270.754689|576|240
1538583270.815947|537|373
1538583270.885803|692|363
1538583270.953237|658|225
1538583271.027762|625|227
1538583271.088913|623|487
1538583271.15242|649|227
1538583271.230594|682|435
1538583271.284573|691|377
1538583271.361448|606|225
1538583271.424791|544|369
1538583271.485877|676|468
1538583271.554837|687|395
1538583271.621672|647|454
1538583271.695609|690|457
1538583271.754624|706|392
1538583271.836413|677|437
1538583271.886627|729|444
1538583271.960871|642|462
1538583272.025775|627|371
1538583272.083098|589|360
1538583272.168375|677|441
1538583272.285187|617|231
1538583272.353497|617|477
1538583272.438983|624|370
1538583272.494102|621|436
1538583272.559578|690|458
1538583272.611977|734|425
1538583272.682101|644|448
1538583272.751657|660|461
1538583272.816305|676|441
1538583272.893216|660|436
1538583272.945168|723|414
1538583273.029232|675|472
